,Prices,Beds,Baths,SquareFt,Loc,p/sf
1431,300000.0,3,3,2144,"Greenbrier West, Chesapeake, VA",139.92537313432837
1432,195000.0,3,2,1248,"Indian River, Chesapeake, VA",156.25
1433,259900.0,3,3,1363,"Mayfield, Fredericksburg, VA",190.68231841526045
1434,500000.0,4,3,2300,"Great Bridge, Chesapeake, VA",217.3913043478261
1435,240000.0,4,2,2620,"Mercury Central, Hampton, VA",91.6030534351145
1436,310000.0,4,3,2000,"Great Bridge East, Chesapeake, VA",155.0
1437,350000.0,4,3,2238,"Fredericksburg, VA",156.38963360142984
1438,295000.0,4,3,2016,"Henrico, VA",146.3293650793651
1439,305000.0,3,3,1620,"Henrico, VA",188.2716049382716
1440,270000.0,4,3,2283,"Western Branch South, Chesapeake, VA",118.26544021024966
1441,299750.0,4,2,1750,"South Norfolk, Chesapeake, VA",171.28571428571428
1442,260000.0,3,2,2444,"North Chesterfield, VA",106.38297872340425
1443,380000.0,5,3,2750,"Midlothian, VA",138.1818181818182
1444,489000.0,3,3,2351,"Glen Allen, VA",207.99659719268396
1445,285000.0,3,3,1440,"Chesterfield, VA",197.91666666666666
1446,250000.0,4,3,2350,"Western Branch South, Chesapeake, VA",106.38297872340425
1447,270000.0,3,2,1067,"Fredericksburg, VA",253.04592314901592
1448,379000.0,4,3,1940,"Charlottesville, VA",195.36082474226805
1449,300000.0,3,2,1905,"Williamsburg, VA",157.48031496062993
1450,315000.0,4,4,2695,"North Chesterfield, VA",116.88311688311688
1451,234950.0,3,2,1053,"Gloucester, VA",223.12440645773978
1452,234900.0,4,2,1568,"Suffolk, VA",149.80867346938774
1453,399999.0,4,2,2100,"Montross, VA",190.47571428571428
1454,365000.0,3,2,1388,"Forest Hill, Richmond, VA",262.9682997118156
1455,739000.0,4,3,2768,"Henrico, VA",266.9797687861272
1456,255000.0,5,3,1900,"Suffolk, VA",134.21052631578948
1457,299000.0,3,2,1300,"Suffolk, VA",230.0
1458,375000.0,3,2,1569,"Suffolk, VA",239.0057361376673
1459,285000.0,3,3,1704,"Williamsburg, VA",167.25352112676057
1460,189900.0,2,2,979,"British Camp Farms, Richmond, VA",193.97344228804903
1461,300000.0,3,3,2144,"Greenbrier West, Chesapeake, VA",139.92537313432837
1462,195000.0,3,2,1248,"Indian River, Chesapeake, VA",156.25
1463,259900.0,3,3,1363,"Mayfield, Fredericksburg, VA",190.68231841526045
1464,500000.0,4,3,2300,"Great Bridge, Chesapeake, VA",217.3913043478261
1465,240000.0,4,2,2620,"Mercury Central, Hampton, VA",91.6030534351145
1466,310000.0,4,3,2000,"Great Bridge East, Chesapeake, VA",155.0
1467,350000.0,4,3,2238,"Fredericksburg, VA",156.38963360142984
1468,295000.0,4,3,2016,"Henrico, VA",146.3293650793651
1469,305000.0,3,3,1620,"Henrico, VA",188.2716049382716
